"Probe_Set_ID","Description","Variance_Residual","SumVariance","SampleVariance","PropVar_Residual","RSquare","F_T3_genotype","F_T3_temp","F_T3_genotype_temp","NDF_T3_genotype","NDF_T3_temp","NDF_T3_genotype_temp","DDF_T3_genotype","DDF_T3_temp","DDF_T3_genotype_temp","PrF_T3_genotype","PrF_T3_temp","PrF_T3_genotype_temp","NLP_T3_genotype","NLP_T3_temp","NLP_T3_genotype_temp","Adjusted..PrF_T3__label_1","Adjusted..PrF_T3__label_2","Adjusted..PrF_T3__label_3","Sig.Index.PrF_T3_genotype","Sig.Index.PrF_T3_temp","Sig.Index.PrF_T3_genotype_temp","Sum.Sig.Index.for.F.Tests","Avg.Sig.Index.for.F.Tests"
"AT1G07320","Symbols: RPL4 | ribosomal protein L4 | chr1:2249133-2250527 FORWARD LENGTH=1238",0.052611,0.052611,0.734686,1,0.95226,71.7002,77.2322,3.63071,8,1,8,34,34,34,"<.0001","<.0001","0.0038",18.30021,9.543721,2.425261,6.93e-17,3.75e-09,0.011538,1,1,1,3,1
"AT1G07330","Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G29620.1); Has 597 Blast hits to 536 proteins in 121 species: Archae - 2; Bacteria - 47; Metazoa - 170; Fungi - 43; Plants - 98; Viruses - 0; Other Eukaryotes",0.004938,0.004938,0.008313,1,0.604014,3.50795,0.28564,3.03479,8,1,8,34,34,34,"0.0047","0.5965","0.011",2.330631,0.224386,1.958559,0.014025,0.760877,0.030164,1,0,1,2,0.666667
"AT1G07350","Symbols:  | RNA-binding (RRM/RBD/RNP motifs) family protein | chr1:2257425-2260101 REVERSE LENGTH=1456",0.169208,0.169208,1.36746,1,0.917508,12.192,229.081,4.78139,8,1,8,34,34,34,"<.0001","<.0001","0.0005",7.295919,15.94509,3.271472,4.15e-07,7.77e-15,0.00199,1,1,1,3,1
"AT1G07440","Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:2286149-2287730 REVERSE LENGTH=1240",0.115645,0.115645,1.063268,1,0.927491,12.7321,277.884,5.48365,8,1,8,34,34,34,"<.0001","<.0001","0.0002",7.521287,17.20613,3.751839,2.59e-07,6.38e-16,0.000723,1,1,1,3,1
"AT1G07450","Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:2287926-2289336 REVERSE LENGTH=975",0.053927,0.053927,0.277638,1,0.87051,16.0701,66.9714,3.21922,8,1,8,34,34,34,"<.0001","<.0001","0.0079",8.781688,8.820003,2.104915,1.84e-08,1.71e-08,0.022361,1,1,1,3,1
"AT1G07500","Symbols:  | unknown protein; Has 4 Blast hits to 4 proteins in 3 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 4; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:2304766-2305031 REVERSE LENGTH=225",0.059695,0.059695,1.073036,1,0.962912,59.5577,169.615,28.333,8,1,8,34,34,34,"<.0001","<.0001","<.0001",17.02796,14.04433,12.15253,9.01e-16,3.62e-13,1.7e-11,1,1,1,3,1
"AT1G07640","Symbols: OBP2 | Dof-type zinc finger DNA-binding family protein | chr1:2354354-2355771 REVERSE LENGTH=1418",0.035596,0.035596,0.312291,1,0.924012,7.00169,299.816,6.72138,8,1,8,34,34,34,"<.0001","<.0001","<.0001",4.704756,17.70949,4.536989,9.76e-05,2.29e-16,0.000139,1,1,1,3,1
"AT1G07750","Symbols:  | RmlC-like cupins superfamily protein | chr1:2404037-2405943 REVERSE LENGTH=1414",0.036512,0.036512,0.280438,1,0.913202,19.3304,161.748,4.27492,8,1,8,34,34,34,"<.0001","<.0001","0.0012",9.836795,13.75178,2.90819,2.04e-09,6.59e-13,0.004242,1,1,1,3,1
"AT1G08180","Symbols:  | unknown protein; Has 53 Blast hits to 53 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 1; Fungi - 0; Plants - 52; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:2564572-2565121 REVERSE LENGTH=550",0.012797,0.012797,0.031843,1,0.732076,8.76541,2.42377,2.82017,8,1,8,34,34,34,"<.0001","0.1288","0.0164",5.685882,0.890193,1.786314,1.23e-05,0.24656,0.042724,1,0,1,2,0.666667
"AT1G08210","Symbols:  | Eukaryotic aspartyl protease family protein | chr1:2577020-2580669 REVERSE LENGTH=1666",0.037691,0.037691,0.080741,1,0.688794,6.1866,2.79177,3.41154,8,1,8,34,34,34,"<.0001","0.1039","0.0055",4.206906,0.983255,2.25574,0.000278,0.207021,0.016388,1,0,1,2,0.666667
"AT1G08220","Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: mitochondrial proton-transporting ATP synthase complex assembly; LOCATED IN: mitochondrial inner membrane; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS Int",0.023948,0.023948,0.087445,1,0.817421,10.6607,35.6276,3.20616,8,1,8,34,34,34,"<.0001","<.0001","0.008",6.618013,6.02451,2.094607,1.73e-06,6.04e-06,0.022828,1,1,1,3,1
"AT1G08280","Symbols:  | Glycosyltransferase family 29 (sialyltransferase) family protein | chr1:2608408-2609853 FORWARD LENGTH=1446",0.025609,0.025609,0.146384,1,0.883372,20.3926,59.179,4.70381,8,1,8,34,34,34,"<.0001","<.0001","0.0006",10.15065,8.218374,3.216757,1.06e-09,6.03e-08,0.002231,1,1,1,3,1
"AT1G08380","Symbols: PSAO | photosystem I subunit O | chr1:2640813-2641828 REVERSE LENGTH=703",0.083965,0.083965,0.497624,1,0.887512,18.6984,85.6384,3.99846,8,1,8,34,34,34,"<.0001","<.0001","0.002",9.6436,10.08772,2.703796,3.05e-09,1.21e-09,0.006491,1,1,1,3,1
"AT1G08470","Symbols: SSL3 | strictosidine synthase-like 3 | chr1:2682127-2684100 REVERSE LENGTH=1431",0.022425,0.022425,0.16803,1,0.911028,36.8872,4.36811,5.36933,8,1,8,34,34,34,"<.0001","0.0442","0.0002",13.83619,1.354878,3.675444,5.55e-13,0.101507,0.00085,1,0,1,2,0.666667
"AT1G08630","Symbols: THA1 | threonine aldolase 1 | chr1:2743761-2746695 REVERSE LENGTH=1421",0.0512,0.0512,0.75389,1,0.954724,62.3204,80.8318,16.8098,8,1,8,34,34,34,"<.0001","<.0001","<.0001",17.33727,9.781611,9.034481,4.87e-16,2.29e-09,1.09e-08,1,1,1,3,1
"AT1G09080","Symbols: BIP3 | Heat shock protein 70 (Hsp 70) family protein | chr1:2929217-2931841 REVERSE LENGTH=2086",0.002141,0.002141,0.004159,1,0.660223,3.83243,0.44157,3.25315,8,1,8,33,33,33,"0.0028","0.511","0.0077",2.55629,0.291595,2.114873,0.008819,0.689002,0.021905,1,0,1,2,0.666667
"AT1G09100","Symbols: RPT5B | 26S proteasome AAA-ATPase subunit RPT5B | chr1:2936528-2939326 REVERSE LENGTH=1487",0.038257,0.038257,0.238826,1,0.893209,17.5026,130.161,3.17736,8,1,8,34,34,34,"<.0001","<.0001","0.0085",9.263718,12.44413,2.071842,6.73e-09,9.33e-12,0.023916,1,1,1,3,1
"AT1G09210","Symbols: CRT1b, AtCRT1b | calreticulin 1b | chr1:2972842-2976750 REVERSE LENGTH=1745",0.061683,0.061683,0.272776,1,0.849247,2.43589,147.316,2.82444,8,1,8,34,34,34,"0.0336","<.0001","0.0162",1.473731,13.1829,1.789761,0.080067,2.08e-12,0.04242,0,1,1,2,0.666667
"AT1G09350","Symbols: AtGolS3, GolS3 | galactinol synthase 3 | chr1:3019819-3021441 FORWARD LENGTH=1301",0.439201,0.439201,7.020017,1,0.958291,20.7641,577.929,2.80876,8,1,8,34,34,34,"<.0001","<.0001","0.0167",10.25737,22.19406,1.777106,8.51e-10,2.61e-20,0.043526,1,1,1,3,1
"AT1G09390","Symbols:  | GDSL-like Lipase/Acylhydrolase superfamily protein | chr1:3031203-3033582 FORWARD LENGTH=1341",0.050406,0.050406,0.451123,1,0.92551,25.2793,196.251,4.12395,8,1,8,34,34,34,"<.0001","<.0001","0.0016",11.44503,14.95665,2.797107,7.28e-11,5.77e-14,0.005357,1,1,1,3,1
"AT1G09530","Symbols: PIF3, POC1, PAP3 | phytochrome interacting factor 3 | chr1:3076582-3079539 FORWARD LENGTH=1957",0.043342,0.043342,0.105654,1,0.726517,5.60375,16.6259,4.15599,8,1,8,34,34,34,"0.0001","0.0003","0.0015",3.831364,3.586405,2.820793,0.000613,0.001026,0.005094,1,1,1,3,1
"AT1G09560","Symbols: GLP5 | germin-like protein 5 | chr1:3093839-3094864 FORWARD LENGTH=942",0.082956,0.082956,0.429095,1,0.871115,6.21436,156.633,3.35348,8,1,8,34,34,34,"<.0001","<.0001","0.0062",4.22437,13.55514,2.210408,0.000268,9.76e-13,0.018003,1,1,1,3,1
"AT1G09680","Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:3134107-3135930 REVERSE LENGTH=1824",0.012904,0.012904,0.047405,1,0.818536,13.9016,1.23916,5.11841,8,1,8,34,34,34,"<.0001","0.2734","0.0003",7.987323,0.563137,3.505323,9.74e-08,0.443681,0.001215,1,0,1,2,0.666667
"AT1G09750","Symbols:  | Eukaryotic aspartyl protease family protein | chr1:3157501-3159148 FORWARD LENGTH=1578",0.157184,0.157184,2.014925,1,0.947993,53.9545,153.437,4.44352,8,1,8,34,34,34,"<.0001","<.0001","0.0009",16.35782,13.42955,3.030724,3.39e-15,1.26e-12,0.003286,1,1,1,3,1
"AT1G09910","Symbols:  | Rhamnogalacturonate lyase family protein | chr1:3220035-3224541 REVERSE LENGTH=2234",0.021105,0.021105,0.407576,1,0.965824,108.938,29.8068,4.7135,8,1,8,33,33,33,"<.0001","<.0001","0.0006",20.74878,5.323236,3.191492,4.51e-19,2.66e-05,0.002353,1,1,1,3,1
