"Probe_Set_ID","Description","Variance_Residual","SumVariance","SampleVariance","PropVar_Residual","RSquare","F_T3_genotype","F_T3_temp","F_T3_genotype_temp","NDF_T3_genotype","NDF_T3_temp","NDF_T3_genotype_temp","DDF_T3_genotype","DDF_T3_temp","DDF_T3_genotype_temp","PrF_T3_genotype","PrF_T3_temp","PrF_T3_genotype_temp","NLP_T3_genotype","NLP_T3_temp","NLP_T3_genotype_temp","Adjusted..PrF_T3__label_1","Adjusted..PrF_T3__label_2","Adjusted..PrF_T3__label_3","Sig.Index.PrF_T3_genotype","Sig.Index.PrF_T3_temp","Sig.Index.PrF_T3_genotype_temp","Sum.Sig.Index.for.F.Tests","Avg.Sig.Index.for.F.Tests"
"AT1G01725","Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match",0.052952,0.052952,0.503835,1,0.929935,52.743,14.182,1.74217,8,1,8,34,34,34,"<.0001","0.0006","0.1242",16.20458,3.200678,0.905985,4.6e-15,0.002307,0.239391,1,1,0,2,0.666667
"AT1G01730","Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 42 Blast hits to 42 proteins in 17 species:",0.087704,0.087704,0.51321,1,0.886072,24.4929,60.1166,1.58738,8,1,8,34,34,34,"<.0001","<.0001","0.1653",11.25136,8.293429,0.781725,1.08e-10,5.15e-08,0.301421,1,1,0,2,0.666667
"AT1G01760","Symbols:  | adenosine deaminases;RNA binding;RNA binding;adenosine deaminases | chr1:276266-278448 REVERSE LENGTH=1312",0.010268,0.010268,0.031884,1,0.785308,4.43987,68.6103,2.15075,8,1,8,34,34,34,"0.0009","<.0001","0.0576",3.028086,8.940492,1.239775,0.003304,1.32e-08,0.126906,1,1,0,2,0.666667
"AT1G01770","Symbols:  | unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1446 (InterPro:IPR010839); Has 1597 Blast hits to 1509 proteins in 306 species: Archae - 4; Bacteria - 843; Metazoa - 22; Fungi - 131; Plants - 31; Viruses - 0; Other E",0.140792,0.140792,0.351184,1,0.732729,4.34007,51.0728,1.01635,8,1,8,34,34,34,"0.0011","<.0001","0.4426",2.955728,7.535205,0.354032,0.003842,2.52e-07,0.625792,1,1,0,2,0.666667
"AT1G01780","Symbols:  | GATA type zinc finger transcription factor family protein | chr1:282761-284245 FORWARD LENGTH=939",0.067878,0.067878,0.157538,1,0.712756,3.0009,50.6953,0.67198,8,1,8,34,34,34,"0.0117","<.0001","0.7123",1.931493,7.501774,0.147321,0.031852,2.7e-07,0.846276,1,1,0,2,0.666667
"AT1G01800","Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:293342-295040 FORWARD LENGTH=1094",0.023854,0.023854,0.041997,1,0.621344,4.32599,12.756,0.86982,8,1,8,34,34,34,"0.0011","0.0011","0.5509",2.945477,2.964886,0.258906,0.003926,0.003771,0.723719,1,1,0,2,0.666667
"AT1G01830","Symbols:  | ARM repeat superfamily protein | chr1:298535-300729 REVERSE LENGTH=2108",0.062309,0.062309,0.265383,1,0.843474,14.0742,61.9276,0.90814,8,1,8,34,34,34,"<.0001","<.0001","0.5213",8.053712,8.436264,0.282909,8.5e-08,3.82e-08,0.697909,1,1,0,2,0.666667
"AT1G01840","Symbols:  | unknown protein; Has 23 Blast hits to 23 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 23; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:303537-304358 FORWARD LENGTH=822",0.052414,0.052414,0.09196,1,0.620025,5.64716,7.59489,0.24652,8,1,8,34,34,34,"0.0001","0.0093","0.9784",3.859925,2.029647,0.009481,0.000577,0.026091,0.991315,1,1,0,2,0.666667
"AT1G01860","Symbols: PFC1 | Ribosomal RNA adenine dimethylase family protein | chr1:304133-306287 REVERSE LENGTH=1350",0.061606,0.061606,0.182118,1,0.774483,11.5272,20.9225,0.83588,8,1,8,34,34,34,"<.0001","<.0001","0.5778",7.009025,4.21589,0.238229,7.56e-07,0.000273,0.745924,1,1,0,2,0.666667
"AT1G01900","Symbols: ATSBT1.1, SBTI1.1 | subtilase family protein | chr1:310316-313130 FORWARD LENGTH=2460",0.064153,0.064153,0.589708,1,0.927475,33.489,127.688,3.46889,8,1,8,34,34,34,"<.0001","<.0001","0.005",13.21237,12.33128,2.300351,1.96e-12,1.17e-11,0.014935,1,1,1,3,1
"AT1G01910","Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:313101-315902 REVERSE LENGTH=1513",0.02452,0.02452,0.041143,1,0.602675,2.88957,12.8524,1.85901,8,1,8,34,34,34,"0.0144","0.001","0.0998",1.842224,2.981088,1.000854,0.038189,0.003646,0.200409,1,1,0,2,0.666667
"AT1G01920","Symbols:  | SET domain-containing protein | chr1:316128-319650 FORWARD LENGTH=1863",0.032666,0.032666,0.102074,1,0.786654,8.21973,50.6731,1.006,8,1,8,34,34,34,"<.0001","<.0001","0.4497",5.395233,7.499804,0.347032,2.28e-05,2.71e-07,0.632244,1,1,0,2,0.666667
"AT1G01930","Symbols:  | zinc finger protein-related | chr1:319836-322860 REVERSE LENGTH=1999",0.111824,0.111824,0.133445,1,0.44135,1.94326,6.42845,0.69177,8,1,8,34,34,34,"0.0852","0.016","0.696",1.069639,1.79596,0.157418,0.176094,0.041892,0.83507,0,1,0,1,0.333333
"AT1G01940","Symbols:  | Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein | chr1:323027-324917 FORWARD LENGTH=736",0.102316,0.102316,0.344331,1,0.801904,6.14722,77.0317,0.71712,8,1,8,34,34,34,"<.0001","<.0001","0.6749",4.182065,9.530239,0.170735,0.000292,3.86e-09,0.820682,1,1,0,2,0.666667
"AT1G01970","Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:338291-340077 FORWARD LENGTH=1649",0.040278,0.040278,0.300708,1,0.910705,35.3916,49.0434,1.57172,8,1,8,34,34,34,"<.0001","<.0001","0.1701",13.56808,7.353691,0.769271,9.5e-13,3.68e-07,0.30828,1,1,0,2,0.666667
"AT1G01990","Symbols:  | unknown protein; Has 32 Blast hits to 32 proteins in 6 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 32; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:343166-344341 REVERSE LENGTH=1176",0.058248,0.058248,0.221191,1,0.82444,4.00289,93.7697,4.23946,8,1,8,34,34,34,"0.002","<.0001","0.0013",2.707107,10.57822,2.882216,0.006447,4.37e-10,0.004479,1,1,1,3,1
"AT1G02020","Symbols:  | nitroreductase family protein | chr1:352637-354969 REVERSE LENGTH=2258",0.023416,0.023416,0.239028,1,0.935344,42.3445,126.957,2.48143,8,1,8,33,33,33,"<.0001","<.0001","0.0315",14.44553,12.12416,1.501371,1.61e-13,1.8e-11,0.075765,1,1,0,2,0.666667
"AT1G02090","Symbols: FUS5, CSN7, COP15, ATCSN7 | Proteasome component (PCI) domain protein | chr1:387277-389647 REVERSE LENGTH=1064",0.030971,0.030971,0.115845,1,0.82177,1.1279,139.147,1.46411,8,1,8,34,34,34,"0.3701","<.0001","0.2068",0.43171,12.84032,0.684439,0.551673,4.15e-12,0.358874,0,1,0,1,0.333333
"AT1G02120","Symbols: VAD1 | GRAM domain family protein | chr1:395761-399897 FORWARD LENGTH=1974",0.040996,0.040996,0.225419,1,0.878756,28.8434,14.7562,0.58954,8,1,8,34,34,34,"<.0001","0.0005","0.7794",12.26448,3.293324,0.10823,1.34e-11,0.0019,0.888849,1,1,0,2,0.666667
"AT1G02130","Symbols: ATRAB1B, ARA5, ARA-5, ATRABD2A, RABD2A, RA-5 | RAS 5 | chr1:400035-401882 REVERSE LENGTH=1021",0.024591,0.024591,0.056566,1,0.710183,7.03258,9.53458,1.87874,8,1,8,34,34,34,"<.0001","0.004","0.0962",4.723035,2.398103,1.016939,9.4e-05,0.012207,0.194409,1,1,0,2,0.666667
"AT1G02140","Symbols: MEE63, MAGO, HAP1 | mago nashi family protein | chr1:403190-404456 REVERSE LENGTH=785",0.026876,0.026876,0.049696,1,0.639457,6.05875,8.13664,0.99113,8,1,8,34,34,34,"<.0001","0.0073","0.4602",4.125977,2.134922,0.337045,0.000329,0.021029,0.642395,1,1,0,2,0.666667
"AT1G02150","Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:408622-410611 FORWARD LENGTH=1910",0.054783,0.054783,0.379045,1,0.903647,35.5545,19.1838,2.47485,8,1,8,34,34,34,"<.0001","0.0001","0.0312",13.59776,3.96801,1.50561,8.97e-13,0.00046,0.075122,1,1,0,2,0.666667
"AT1G02160","Symbols:  | Cox19 family protein (CHCH motif) | chr1:410748-411597 FORWARD LENGTH=485",0.062497,0.062497,0.135337,1,0.692143,2.78927,45.6365,0.42942,8,1,8,34,34,34,"0.0173","<.0001","0.8951",1.761359,7.038445,0.048142,0.044912,7.12e-07,0.953296,1,1,0,2,0.666667
"AT1G02170","Symbols: LOL3, ATMCPB1, MCP1B, ATMC1, MC1 | metacaspase 1 | chr1:411779-413554 FORWARD LENGTH=1336",0.065306,0.065306,0.119345,1,0.6352,4.7379,14.7213,0.87072,8,1,8,34,34,34,"0.0006","0.0005","0.5502",3.24084,3.287718,0.259463,0.002121,0.001922,0.723056,1,1,0,2,0.666667
"AT1G02205","Symbols: CER1 | Fatty acid hydroxylase superfamily | chr1:418748-422258 FORWARD LENGTH=2067",0.413963,0.413963,2.064829,1,0.866345,26.2854,6.99563,0.62209,8,1,8,34,34,34,"<.0001","0.0123","0.7532",11.68567,1.910847,0.123062,4.44e-11,0.033209,0.872403,1,1,0,2,0.666667
"AT1G02220","Symbols: ANAC003, NAC003 | NAC domain containing protein 3 | chr1:428814-430647 REVERSE LENGTH=1353",0.043239,0.043239,0.512353,1,0.943738,66.2716,18.7162,2.84975,8,1,8,34,34,34,"<.0001","0.0001","0.0155",17.75829,3.899813,1.810173,2.06e-16,0.000531,0.040752,1,1,1,3,1
"AT1G02250","Symbols: anac005, NAC005 | NAC domain containing protein 5 | chr1:437951-439559 REVERSE LENGTH=1089",0.015339,0.015339,0.016387,1,0.375974,0.74898,8.06055,0.94533,8,1,8,34,34,34,"0.6486","0.0076","0.4934",0.188042,2.120253,0.306824,0.801435,0.021666,0.673088,0,1,0,1,0.333333
"AT1G02260","Symbols:  | Divalent ion symporter | chr1:440441-442877 REVERSE LENGTH=2146",0.032336,0.032336,0.123324,1,0.8252,15.2561,20.2859,2.71169,8,1,8,34,34,34,"<.0001","<.0001","0.02",8.493293,4.126153,1.698555,3.39e-08,0.000329,0.051062,1,1,0,2,0.666667
"AT1G02270","Symbols:  | Calcium-binding endonuclease/exonuclease/phosphatase family | chr1:443149-446235 REVERSE LENGTH=1645",0.096607,0.096607,0.246692,1,0.738925,6.35274,23.576,2.55668,8,1,8,34,34,34,"<.0001","<.0001","0.0268",4.310894,4.578065,1.572453,0.000223,0.000127,0.065703,1,1,0,2,0.666667
"AT1G02300","Symbols:  | Cysteine proteinases superfamily protein | chr1:453288-455463 FORWARD LENGTH=1227",0.251422,0.251422,2.930489,1,0.942803,65.1812,30.143,1.16454,8,1,8,34,34,34,"<.0001","<.0001","0.3483",17.64448,5.402126,0.458041,2.61e-16,2.25e-05,0.529117,1,1,0,2,0.666667
"AT1G02310","Symbols: MAN1 | Glycosyl hydrolase superfamily protein | chr1:458133-460696 REVERSE LENGTH=1390",0.16595,0.16595,1.049811,1,0.894616,19.6737,80.5287,6.06546,8,1,8,34,34,34,"<.0001","<.0001","<.0001",9.939696,9.761874,4.130242,1.65e-09,2.38e-09,0.000327,1,1,1,3,1
"AT1G02330","Symbols:  | CONTAINS InterPro DOMAIN/s: Hepatocellular carcinoma-associated antigen 59 (InterPro:IPR010756); Has 1239 Blast hits to 998 proteins in 204 species: Archae - 4; Bacteria - 71; Metazoa - 421; Fungi - 109; Plants - 87; Viruses - 5; Other Eukaryot",0.345435,0.345435,0.683352,1,0.663,3.7986,25.3675,1.02393,8,1,8,34,34,34,"0.0028","<.0001","0.4373",2.553359,4.812491,0.359179,0.008869,7.81e-05,0.620574,1,1,0,2,0.666667
"AT1G02360","Symbols:  | Chitinase family protein | chr1:471990-473160 REVERSE LENGTH=1011",0.159306,0.159306,0.391063,1,0.728423,9.65206,7.0469,0.42915,8,1,8,34,34,34,"<.0001","0.012","0.8952",6.136044,1.921112,0.048063,4.77e-06,0.032532,0.953393,1,1,0,2,0.666667
"AT1G02390","Symbols: ATGPAT2, GPAT2 | glycerol-3-phosphate acyltransferase 2 | chr1:480852-483292 FORWARD LENGTH=1791",0.074122,0.074122,0.352876,1,0.859966,23.9769,7.5868,1.00389,8,1,8,34,34,34,"<.0001","0.0094","0.4512",11.12148,2.02806,0.34561,1.41e-10,0.02617,0.633737,1,1,0,2,0.666667
